date,price_oil,price_gas,price_coal,price_electricity,price_food,price_critical-minerals,price_steel,price_consumer-goods,price_electronics,price_arms,price_pharma,price_services,import_price_oil,import_price_gas,import_price_coal,import_price_electricity,import_price_food,import_price_critical-minerals,import_price_steel,import_price_consumer-goods,import_price_electronics,import_price_arms,import_price_pharma,import_price_services,gdp_FRA,gdp_DEU,gdp_GBR,gdp_ITA,gdp_ESP,gdp_POL,gdp_UKR,gdp_RUS,gdp_TUR,gdp_NOR,debt_FRA,debt_DEU,debt_GBR,debt_ITA,debt_ESP,debt_POL,debt_UKR,debt_RUS,debt_TUR,debt_NOR,stability_FRA,stability_DEU,stability_GBR,stability_ITA,stability_ESP,stability_POL,stability_UKR,stability_RUS,stability_TUR,stability_NOR,shortage_FRA,shortage_DEU,shortage_GBR,shortage_ITA,shortage_ESP,shortage_POL,shortage_UKR,shortage_RUS,shortage_TUR,shortage_NOR,gas_coverage_FRA,gas_coverage_DEU,gas_coverage_GBR,gas_coverage_ITA,gas_coverage_ESP,gas_coverage_POL,gas_coverage_UKR,gas_coverage_RUS,gas_coverage_TUR,gas_coverage_NOR,maritime_trade_FRA,maritime_trade_DEU,maritime_trade_GBR,maritime_trade_ITA,maritime_trade_ESP,maritime_trade_POL,maritime_trade_UKR,maritime_trade_RUS,maritime_trade_TUR,maritime_trade_NOR,blockade_FRA,blockade_DEU,blockade_GBR,blockade_ITA,blockade_ESP,blockade_POL,blockade_UKR,blockade_RUS,blockade_TUR,blockade_NOR,tiles_FRA,tiles_DEU,tiles_GBR,tiles_ITA,tiles_ESP,tiles_POL,tiles_UKR,tiles_RUS,tiles_TUR,tiles_NOR,contested_FRA,contested_DEU,contested_GBR,contested_ITA,contested_ESP,contested_POL,contested_UKR,contested_RUS,contested_TUR,contested_NOR,exhaustion_FRA,exhaustion_DEU,exhaustion_GBR,exhaustion_ITA,exhaustion_ESP,exhaustion_POL,exhaustion_UKR,exhaustion_RUS,exhaustion_TUR,exhaustion_NOR,sanctions_against_FRA,sanctions_against_DEU,sanctions_against_GBR,sanctions_against_ITA,sanctions_against_ESP,sanctions_against_POL,sanctions_against_UKR,sanctions_against_RUS,sanctions_against_TUR,sanctions_against_NOR,at_war_FRA,at_war_DEU,at_war_GBR,at_war_ITA,at_war_ESP,at_war_POL,at_war_UKR,at_war_RUS,at_war_TUR,at_war_NOR,export_share_FRA,export_share_DEU,export_share_GBR,export_share_ITA,export_share_ESP,export_share_POL,export_share_UKR,export_share_RUS,export_share_TUR,export_share_NOR,circumvention_FRA,circumvention_DEU,circumvention_GBR,circumvention_ITA,circumvention_ESP,circumvention_POL,circumvention_UKR,circumvention_RUS,circumvention_TUR,circumvention_NOR,regime_FRA,regime_DEU,regime_GBR,regime_ITA,regime_ESP,regime_POL,regime_UKR,regime_RUS,regime_TUR,regime_NOR,legitimacy_FRA,legitimacy_DEU,legitimacy_GBR,legitimacy_ITA,legitimacy_ESP,legitimacy_POL,legitimacy_UKR,legitimacy_RUS,legitimacy_TUR,legitimacy_NOR,capital_FRA,capital_DEU,capital_GBR,capital_ITA,capital_ESP,capital_POL,capital_UKR,capital_RUS,capital_TUR,capital_NOR
2026-01-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3366.32,5050.92,4002.59,2551.56,1906.45,1035.49,214.23,2561.31,1597.29,530.76,1.1600,0.6290,1.0230,1.3710,1.0040,0.5880,1.0870,0.1720,0.2350,0.4500,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6678,0.6750,0.6750,0.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0739,0.1337,0.0486,0.0868,0.0114,0.0806,0.1082,0.0016,0.1382,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2026-02-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0737,1.0272,1.0377,1.0397,1.0268,1.0569,1.0247,1.0247,1.0417,1.0274,1.0247,1.0000,3368.85,5053.35,4005.28,2552.70,1909.19,1038.67,212.58,2562.32,1602.16,531.17,1.1686,0.6331,1.0318,1.3831,1.0122,0.5957,1.1279,0.1778,0.2409,0.4463,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6678,0.6750,0.6750,0.7200,0.0139,0.0114,0.0296,0.0205,0.0185,0.0000,0.0278,0.0025,0.0136,0.0141,0.9793,0.9788,0.9899,0.9779,0.9796,1.0000,0.9876,1.0000,0.9729,1.0000,50.88,180.46,76.31,51.83,59.37,9.22,4.24,232.99,55.64,79.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4600,0.0438,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0100,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1187,0.0731,0.1336,0.0478,0.0864,0.0113,0.0722,0.1041,0.0015,0.1357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,33.3,32.9,32.5,33.6,33.3,33.1,34.0,33.3,33.8,32.9
2026-03-01,1.0016,1.0008,1.0003,1.0003,1.0004,1.0015,1.0008,1.0007,1.0010,1.0025,1.0009,1.0000,1.1159,1.0307,1.0386,1.0399,1.0274,1.0582,1.0215,1.0172,1.0226,1.0646,1.0263,1.0000,3371.33,5055.75,4008.00,2553.81,1911.90,1041.86,211.32,2564.13,1607.04,531.44,1.1763,0.6364,1.0389,1.3931,1.0171,0.5943,1.1425,0.1814,0.2429,0.4334,0.6531,0.7045,0.6539,0.6202,0.6623,0.7196,0.5763,0.6614,0.6756,0.7041,0.0149,0.0127,0.0294,0.0212,0.0192,0.0012,0.0867,0.0021,0.0137,0.0128,0.9785,0.9778,0.9895,0.9772,0.9790,0.9992,0.9676,1.0000,0.9722,1.0000,50.66,180.76,76.18,51.49,59.14,9.16,5.70,234.34,55.64,78.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4605,0.0439,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95738,572479,131417,91336,0,0,0,0,0,0,0,37,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0503,0.0279,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1187,0.0732,0.1336,0.0478,0.0864,0.0114,0.0755,0.1052,0.0015,0.1335,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,36.6,35.6,35.0,37.1,36.5,36.3,37.4,36.5,37.5,35.6
2026-04-01,1.0059,1.0026,1.0009,1.0007,1.0009,1.0042,1.0013,1.0011,1.0015,1.0047,1.0016,1.0000,1.0960,1.0300,1.0370,1.0371,1.0274,1.0596,1.0107,1.0057,1.0150,1.0499,1.0175,1.0000,3374.06,5058.55,4010.97,2555.17,1914.74,1045.09,210.38,2566.27,1612.00,531.75,1.1839,0.6395,1.0455,1.4025,1.0216,0.5925,1.1553,0.1847,0.2447,0.4204,0.6498,0.6991,0.6460,0.6165,0.6500,0.7160,0.5148,0.6620,0.6646,0.6999,0.0116,0.0104,0.0263,0.0181,0.0160,0.0000,0.0841,0.0014,0.0117,0.0109,0.9805,0.9799,0.9905,0.9792,0.9808,1.0000,0.9680,1.0000,0.9744,1.0000,51.35,182.49,77.22,52.33,60.00,9.28,5.75,237.41,56.23,79.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4585,0.0414,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95631,572586,131417,91336,0,0,0,0,0,0,0,144,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0903,0.0450,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1187,0.0734,0.1336,0.0481,0.0864,0.0115,0.0755,0.1055,0.0015,0.1338,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,39.8,38.4,37.5,40.6,39.7,39.4,40.4,39.7,41.2,38.4
2026-05-01,1.0095,1.0039,1.0015,1.0010,1.0013,1.0059,1.0015,1.0012,1.0016,1.0062,1.0020,1.0001,1.0937,1.0317,1.0380,1.0358,1.0277,1.0616,1.0052,1.0028,1.0153,1.0392,1.0118,1.0001,3376.83,5061.45,4014.02,2556.64,1917.60,1048.33,209.72,2568.53,1616.97,532.10,1.1915,0.6423,1.0515,1.4112,1.0255,0.5904,1.1661,0.1879,0.2462,0.4072,0.6488,0.6974,0.6404,0.6075,0.6545,0.7251,0.4870,0.6644,0.6664,0.6961,0.0111,0.0104,0.0256,0.0176,0.0157,0.0000,0.0657,0.0012,0.0117,0.0101,0.9802,0.9796,0.9903,0.9789,0.9805,1.0000,0.9682,1.0000,0.9741,1.0000,51.32,182.88,77.56,52.53,60.02,9.35,5.73,236.93,56.36,79.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4590,0.0419,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95540,572677,131417,91336,0,0,0,0,0,0,0,235,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1262,0.0609,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0735,0.1336,0.0483,0.0864,0.0116,0.0755,0.1056,0.0015,0.1341,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,43.1,41.2,39.9,44.1,42.9,42.6,43.2,43.0,44.9,41.1
2026-06-01,1.0130,1.0049,1.0020,1.0012,1.0017,1.0070,1.0016,1.0011,1.0016,1.0072,1.0023,1.0001,1.0959,1.0330,1.0390,1.0346,1.0278,1.0629,1.0032,1.0028,1.0153,1.0304,1.0073,1.0001,3379.62,5064.42,4017.10,2558.19,1920.47,1051.59,209.22,2570.88,1621.96,532.49,1.1991,0.6449,1.0569,1.4193,1.0290,0.5884,1.1757,0.1909,0.2475,0.3940,0.6477,0.6992,0.6405,0.6058,0.6581,0.7246,0.4866,0.6606,0.6853,0.6959,0.0110,0.0103,0.0253,0.0170,0.0155,0.0000,0.0609,0.0012,0.0118,0.0098,0.9799,0.9793,0.9902,0.9786,0.9803,1.0000,0.9684,1.0000,0.9738,1.0000,51.20,183.11,77.80,52.63,59.93,9.40,5.70,236.15,56.44,79.72,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4593,0.0424,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95407,572810,131417,91336,0,0,0,0,0,0,0,368,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1678,0.0781,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0736,0.1337,0.0484,0.0864,0.0116,0.0755,0.1056,0.0015,0.1344,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,46.4,43.9,42.3,47.5,46.1,45.8,46.0,46.2,48.8,43.9
2026-07-01,1.0162,1.0057,1.0026,1.0014,1.0020,1.0077,1.0016,1.0011,1.0016,1.0078,1.0024,1.0001,1.0988,1.0340,1.0397,1.0336,1.0279,1.0635,1.0032,1.0027,1.0153,1.0211,1.0040,1.0001,3382.44,5067.45,4020.22,2559.82,1923.35,1054.86,208.81,2573.29,1626.98,532.90,1.2067,0.6473,1.0618,1.4268,1.0320,0.5864,1.1843,0.1938,0.2485,0.3807,0.6468,0.6997,0.6402,0.6029,0.6529,0.7169,0.4914,0.6743,0.6877,0.6933,0.0109,0.0102,0.0250,0.0165,0.0154,0.0000,0.0597,0.0011,0.0118,0.0095,0.9798,0.9791,0.9901,0.9785,0.9802,1.0000,0.9687,1.0000,0.9737,1.0000,51.11,183.31,77.99,52.75,59.88,9.44,5.71,235.48,56.47,80.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4576,0.0426,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95297,572920,131417,91336,0,0,0,0,0,0,0,478,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2069,0.0945,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0736,0.1337,0.0485,0.0864,0.0116,0.0754,0.1056,0.0016,0.1347,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,49.6,46.7,44.7,50.9,49.3,48.9,48.8,49.5,52.6,46.6
2026-08-01,1.0193,1.0063,1.0031,1.0015,1.0022,1.0080,1.0015,1.0010,1.0015,1.0082,1.0023,1.0001,1.1018,1.0347,1.0406,1.0301,1.0281,1.0638,1.0031,1.0026,1.0152,1.0155,1.0040,1.0001,3385.13,5070.42,4023.17,2561.46,1926.18,1058.14,208.47,2575.74,1632.65,533.34,1.2144,0.6495,1.0662,1.4337,1.0346,0.5843,1.1922,0.1964,0.2492,0.3674,0.6459,0.6926,0.6325,0.6011,0.6581,0.7193,0.4926,0.6753,0.6731,0.6900,0.0109,0.0101,0.0249,0.0162,0.0154,0.0000,0.0589,0.0011,0.0105,0.0095,0.9796,0.9790,0.9901,0.9784,0.9801,1.0000,0.9688,1.0000,0.9735,1.0000,51.02,183.36,78.12,52.78,59.81,9.49,5.70,234.77,56.39,80.28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4572,0.0429,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95135,573082,131417,91336,0,0,0,0,0,0,0,640,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2513,0.1120,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1186,0.0736,0.1334,0.0485,0.0862,0.0116,0.0753,0.1056,0.0039,0.1350,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,52.9,49.4,47.1,54.3,52.5,52.1,51.6,52.8,56.4,49.3
2026-09-01,1.0220,1.0068,1.0037,1.0016,1.0023,1.0081,1.0013,1.0008,1.0014,1.0084,1.0022,0.9998,1.1042,1.0352,1.0412,1.0294,1.0279,1.0638,1.0030,1.0025,1.0151,1.0115,1.0038,0.9998,3387.06,5075.77,4027.66,2562.85,1928.70,1061.40,208.16,2578.27,1638.28,533.81,1.2224,0.6511,1.0697,1.4401,1.0370,0.5823,1.1994,0.1989,0.2498,0.3540,0.6448,0.6937,0.6400,0.6012,0.6598,0.7164,0.4970,0.6663,0.6886,0.6917,0.0109,0.0100,0.0248,0.0159,0.0153,0.0000,0.0582,0.0011,0.0105,0.0094,0.9796,0.9789,0.9901,0.9783,0.9801,1.0000,0.9690,1.0000,0.9735,1.0000,50.93,183.42,78.18,52.79,59.72,9.52,5.69,234.20,56.49,80.52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4561,0.0430,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94951,573266,131417,91336,0,0,0,0,0,0,0,824,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2948,0.1291,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1171,0.0766,0.1359,0.0478,0.0850,0.0114,0.0748,0.1058,0.0037,0.1352,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,56.1,52.2,49.5,57.8,55.8,55.2,54.4,56.0,60.2,52.0
2026-10-01,1.0244,1.0072,1.0042,1.0016,1.0022,1.0080,1.0012,1.0007,1.0013,1.0084,1.0019,0.9996,1.1063,1.0357,1.0418,1.0292,1.0277,1.0636,1.0028,1.0024,1.0150,1.0097,1.0036,0.9996,3389.04,5081.09,4032.23,2564.30,1931.23,1064.67,207.87,2580.85,1643.90,534.30,1.2304,0.6526,1.0726,1.4459,1.0388,0.5804,1.2061,0.2012,0.2500,0.3406,0.6423,0.7030,0.6380,0.6040,0.6502,0.7132,0.4959,0.6680,0.6678,0.6854,0.0109,0.0100,0.0248,0.0158,0.0153,0.0000,0.0576,0.0011,0.0104,0.0093,0.9796,0.9789,0.9900,0.9783,0.9801,1.0000,0.9691,1.0000,0.9735,1.0000,50.83,183.50,78.24,52.80,59.64,9.56,5.67,233.67,56.59,80.74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4554,0.0431,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94788,573429,131417,91336,0,0,0,0,0,0,0,987,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3364,0.1456,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1172,0.0766,0.1360,0.0479,0.0850,0.0114,0.0747,0.1057,0.0036,0.1354,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.151,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,59.4,55.0,52.0,61.2,58.9,58.3,57.3,59.3,64.0,54.7
